Position,Orientation,Success
"[0.1731996509624528, 0.04214697191599791, 0.10969564356555578]","[-0.18550833188166543, -0.6983048608129605, -0.18487411621457006, 0.6661670521133234]",0
"[0.16701894282105423, 0.004977050336024594, 0.13309416646520067]","[0.025868951933044455, -0.7164870248760772, 0.026913884673777578, 0.6966008780656825]",0
"[-0.02351828100757811, -0.006366552927565181, -0.04380105846144233]","[-0.08586338770915833, -0.035264210808971366, -0.007814728817614382, 0.9956519693651164]",0
"[0.17499093102358465, -0.025026850321843024, 0.0555460477939751]","[-0.04600030588623464, -0.7020991736120854, -0.04561164064715289, 0.7091264347837236]",0
"[-0.03527586711148703, -0.016136543284737116, -0.05279324755673773]","[0.026913163902355895, -0.09259121564158258, 0.10090698771999254, 0.9902122642262396]",0
"[0.027696113021570372, 0.009776154745840879, 0.2508796980104806]","[-0.9874181257183751, 0.052107850236997565, 0.14083020130778623, 0.049568854597400805]",0
"[0.16253306271012988, -0.0015573732952589492, 0.14275263888160888]","[-0.04395443936591785, -0.7029053194375448, -0.04481136518244488, 0.7085083349664397]",0
"[-0.16811860985164512, -0.0076331660569642764, 0.11270189201295132]","[0.10770934144727692, 0.7135831353755681, -0.10595884435981454, 0.6840837156185641]",0
"[-0.16738717056997177, 0.0041117145777900665, 0.1320514589097354]","[-0.08182307087792387, 0.6974203397702579, 0.08254482611742048, 0.707174806132182]",0
"[-0.02195129960133417, 0.14496642129041154, 0.14622221204653726]","[0.7123523144297673, -0.1121032767352663, 0.07353448710840756, 0.6888974631086064]",0
"[0.14873033819103165, -0.02614103515787155, 0.14301974557945904]","[-0.022609791642186832, -0.714477268251349, -0.024884071590193815, 0.6988503512591813]",0
"[0.005674360188443017, 0.03968468777315801, -0.07334260620336394]","[0.09480900386873096, -0.06361387651523233, 0.06534105932803877, 0.9913097767428775]",0
"[-0.04636254891218459, -0.013632235475540709, -0.04742518744886884]","[0.13295430943277864, 0.07486647888879297, -0.11574327608760163, 0.9814895088499704]",0
"[0.04177129979973609, 0.16086394712265795, 0.052192383593392705]","[0.6947765907315339, -0.052891145307857323, 0.12629369361223192, 0.7060721766740774]",0
"[-0.023385881590522534, -0.022010942011164693, 0.26182710441078183]","[-0.9905610042794163, -0.08990746577579549, 0.10206350384955867, -0.016987806823711833]",0
"[-0.1731941767954383, -0.03696784651822516, 0.13234037773351628]","[-0.06763220642144847, 0.7162611795274285, 0.06778011895470781, 0.6912319891548924]",0
"[0.05027050350753154, -0.044769859949794086, 0.2563267325380247]","[-0.9955798382788547, -0.059306218880712705, 0.0723325677342657, -0.008459176064523448]",0
"[0.14060858648448363, 0.032476322773686984, 0.06324007004061087]","[-0.11889219739319473, -0.6970580354964172, -0.11889745396295662, 0.6970209006837743]",0
"[0.026296971385053106, 0.040758308815732204, 0.2685850771688593]","[-0.9895080967612231, -0.019430071352117315, 0.14159619797914472, 0.021135644988608482]",0
"[-0.1681801948910848, -0.04297878308616279, 0.14806791358361104]","[0.02835049676132636, 0.6960500612385886, -0.028912844402790308, 0.7168504788389859]",0
"[0.030428419160209403, -0.1794926646977462, 0.05405603135162034]","[-0.7120127013254747, 0.05499908440425182, 0.0639604135193275, 0.6970811139087983]",0
"[0.033724052320672895, 0.1552529040258729, 0.14262970057452423]","[0.7224162815796795, 0.03335902451578478, -0.02874560918642963, 0.6900547670616047]",1
"[-0.1432813670482501, 0.0189717691713072, 0.10623191439959732]","[-0.04330386435355295, 0.7130661424005833, 0.03941857495427968, 0.6986469980201548]",1
"[-0.040794101053962875, -0.021683164448739727, -0.07987642786298882]","[-0.05988320032004319, 0.023148685670909646, -0.09773979157401927, 0.9931390002483068]",0
"[-0.046817793302591865, -0.03606184620133097, 0.26810886595831895]","[-0.9876414632522057, 0.05642941568348683, 0.14612794849614352, 0.005165634420932317]",0
"[0.033823838823391135, -0.048725697186176885, 0.27617421966959815]","[-0.9961104267023968, 0.07107430663707164, 0.04086486410072809, -0.032288134552148025]",0
"[-0.14074112803214478, -0.024634725065766312, 0.07705509973409903]","[-0.08245770997106167, 0.6853883699561631, 0.0855773687156914, 0.7184149374552706]",1
"[0.02934936044946898, -0.016705022729783515, -0.07938512951645682]","[-0.05070361342498427, -0.05462202745976415, -0.02762075120116913, 0.9968363315032803]",0
