Position,Orientation,Success
"[-0.011810089856841262, -0.04032253959271609, -0.11285049588274035]","[0.13497986259614994, -0.14368828028111302, -0.10891349476884625, 0.9743058890618579]",0
"[-0.16222903970276795, -0.07317831801137667, 0.12559768797037435]","[-0.05305077723142979, 0.6966293586682119, 0.048331922770954085, 0.7138327373537303]",0
"[-0.21110554991748884, -0.005007196869477598, 0.16051981772598906]","[0.02993031224164925, 0.7031148495989827, -0.029011065775890577, 0.7098535361221103]",0
"[-0.0015618110702217466, -0.17313211754129612, 0.07358546324883775]","[-0.7218534525518976, -0.05771292881227776, 0.04116635566909568, 0.6884055069853379]",0
"[-0.03421807077025982, 0.07751575425714968, -0.03617784505384547]","[0.05422154593530991, 0.06367929628742033, -0.10037346697302314, 0.9914283324116472]",0
"[-0.044775390991322044, -0.14394919354698, 0.08112370249097849]","[-0.6872441490251221, 0.12104484226979129, -0.003526724457123903, 0.7162619548776974]",1
"[0.034224918496767655, -0.13118367328042818, 0.17273610497690384]","[-0.6913508341905017, 0.06771180682693512, 0.004663611772103602, 0.7193242565113235]",0
"[0.032690712385191195, -0.0018873312491117199, -0.04516432747607094]","[0.023255928688701227, -0.15750286916733985, -0.028476392555078934, 0.9868338781435967]",1
"[0.19966764234283918, -0.051220991213106956, 0.1120187917370517]","[0.010534821710439018, -0.7285974473708926, 0.014429106604719954, 0.6847091193337054]",0
"[-0.009201652136222671, 0.05350325980090438, -0.12091752115393437]","[0.0003913379130934423, 0.09045640179502853, 0.05753323576424103, 0.9942371010032922]",0
"[0.05239621383416044, -0.17629816266560105, 0.15374027975706886]","[-0.710688416284093, -0.010246896660140227, 0.21729487865201302, 0.6690290814157868]",0
"[0.12125790115819333, -0.06651810156515402, 0.10644069973184364]","[0.0742742489228956, -0.6913082918149462, 0.07371683137460013, 0.7149419629500914]",0
"[-0.21043922746930788, 0.02497393784185776, 0.03586075075595542]","[0.014156733888701175, 0.7045898925495572, -0.014259791126030626, 0.7093301971294117]",0
