Position,Orientation,Success
"[0.0029934745240349247, -0.14294476891249303, 0.15400578528764933]","[-0.6927659078296313, -0.10809061124875723, 0.031041311842251947, 0.712339984605644]",0
"[-0.02874216294486579, 0.15875248427810265, 0.05876109154614452]","[0.6826264934864065, 0.10902708340218285, 0.06916476746141553, 0.7192707420834487]",1
"[-0.13987937742556136, 0.013093862691602063, 0.13028659466000947]","[-0.06535818510732345, 0.712874310309604, 0.06301993518914704, 0.6953898281603197]",1
"[0.050810949975706086, 0.03503845955949575, 0.2990570038793796]","[-0.9938046039641217, 0.06313223873543691, 0.09018595599950988, 0.015271637516043844]",0
"[0.05806119375838371, -0.19234975536443566, 0.03971040696778263]","[-0.6759531230874141, 0.13352542780091176, 0.013670016009393507, 0.7246181519816197]",0
"[-0.05189261081622094, -0.1803955694361424, 0.043747956108975604]","[-0.7141073196931219, -0.12031258268753404, -0.03802026617871403, 0.688571040465296]",0
"[0.02098486557522094, 0.08120919439426127, -0.06287751548439571]","[-0.10950611247924592, 0.1357194829204375, -0.05830786752336969, 0.9829490454089516]",0
"[0.02750968292500367, 0.15151206029760692, 0.14746189027274845]","[0.7121658457411986, 0.053714778975392626, 0.052854964280935855, 0.6979547860930599]",1
"[0.16222434851134215, -0.024186969001152987, 0.02925307341691505]","[0.1574873785878507, -0.7064146427432291, 0.15380999570632625, 0.6726950002224655]",0
"[-0.04494424174028264, 0.03224811343152967, -0.06427256623433455]","[-0.1304083347555876, -0.1136795702367162, 0.10331922438590624, 0.9794874983425592]",0
"[-0.014183473740467533, -0.00940330102034779, -0.044557500503413366]","[0.17555835790588173, -0.06873474312876206, 0.05871685565135977, 0.9803097107133188]",0
"[-0.0004943544114913194, -0.15411397782407404, 0.10897894987284017]","[-0.6781820150313381, -0.14885925760819257, 0.11468128009146258, 0.7104634261585568]",0
"[-0.1863362253598484, -0.03311289891107352, 0.060092359043134806]","[0.005741105138233622, 0.6964485984784861, -0.008115451140772473, 0.717537823979981]",1
"[0.13401432176066036, -0.07595546240513468, 0.10741833501794314]","[-0.1496913816377053, -0.6916147911581363, -0.14964310471883402, 0.6905565958882666]",1
