Position,Orientation,Success
"[-0.07494418846617287, -0.13950541235103647, 0.08608670511056524]","[-0.7122437197984518, 0.009368749351706132, 0.07503313077640089, 0.6978475044228079]",0
"[-0.03251217234350548, 0.02745158869769993, 0.28022128089323894]","[-0.9903019510539101, 0.07103810282976801, 0.11906552150529683, -0.008890178504286538]",0
"[-0.04665844957256229, -0.17469801487905, 0.17165398146726163]","[-0.7204587833201572, 0.046300333392167, 0.014289408962449788, 0.6918028862733351]",0
"[0.01886643185347719, -0.03178764134460064, -0.1292281571867365]","[0.11417849336186789, 0.08294298333130404, 0.13198403318615945, 0.9811543956756407]",0
"[-0.06723737433955848, -0.005891498956796998, -0.06383079125293972]","[0.06021252286935939, 0.06741442067752224, 0.029792846398055694, 0.9954607648109105]",1
"[-0.16959382499622647, 0.04721878818989186, 0.08937990372560228]","[0.0440884080953171, 0.7245948907175519, -0.050311425119426885, 0.6859207076040875]",1
"[-0.0164841718029173, 0.20444626335454802, 0.02678700590769441]","[0.6943309409472379, 0.0751004887611499, -0.09866558566757705, 0.70889319593013]",0
"[-0.054391322373439285, -0.20412849490283705, 0.07539413257524907]","[-0.6724971931505066, 0.14768883614910158, 0.04093320764936212, 0.7240580124500718]",0
"[-0.015105154938227772, -0.07549686083029512, 0.2324596393644444]","[-0.9839570126676773, 0.17823313725611975, 0.0047508635099707585, 0.00624302025072679]",0
"[-0.025040158323981324, 0.03986843557327395, -0.067992100698898]","[0.12345579171889087, 0.04648040911027914, 0.003889392192033447, 0.9912533034943084]",1
"[-0.22301863291855878, 0.06032138749632569, 0.07249964983853704]","[0.10885403317191931, 0.71902740261868, -0.10393567227331894, 0.6784893291531818]",0
"[-0.01649327255030924, -0.14171620735823956, 0.15874825187985733]","[-0.690675275921117, -0.04721091802859111, 0.09148391074506794, 0.7157998927947496]",0
"[-0.0129394799819516, -0.21522579031294647, 0.10054948338911876]","[-0.6830232992710642, -0.10471144987875551, 0.05399324411832446, 0.7208324455147246]",0
"[-0.08112872667462434, -0.1784870523136095, 0.1496459270110836]","[-0.7003686089266608, 0.03765297201836684, 0.04465040161170665, 0.7113876629266435]",0
"[-0.022418658948111504, -0.0532473773958189, -0.021737475193731925]","[-0.09636564401665482, 0.02337719673771363, -0.1228198413397103, 0.9874626351914436]",1
"[-0.007861543011253495, 0.13816464600710496, 0.031034587250373696]","[0.6937225487655961, -0.022809855274569628, -0.11716662291702917, 0.7102821399350662]",0
"[0.03642292478347202, 0.015055312187622578, 0.23341112781258563]","[-0.9993591207480855, -0.032346353997929574, 0.009118784381110542, -0.012325134160117655]",1
"[0.03608138498856079, -0.1383961621882308, 0.1703113512050264]","[-0.6929600673429896, -0.07228227706666643, 0.14212632421503568, 0.7031228380981374]",0
"[-0.21058465338946836, 0.005389885187366366, 0.16241528383312884]","[0.0063631754084307116, 0.7000219449522166, -0.003764124788910181, 0.7140830609590252]",0
"[-0.05847297236421126, 0.06711672509426087, -0.07771902231814795]","[0.060466442503881716, -0.024832140573824338, 0.1079525852878938, 0.9920047446736868]",0
"[-0.00034766868266448286, -0.14750764119266407, 0.09098805770362742]","[-0.721597828866215, -0.05110425779894759, 0.12224953657484042, 0.6795145171500165]",1
"[0.07487736469993435, 0.02824024890133936, -0.03658297018016807]","[0.01142607003648647, 0.005023904641261554, -0.02560389462977816, 0.9995942406223958]",0
"[0.19807376676582686, -0.03122837310761705, 0.05499877431396513]","[-0.05259014065352249, -0.7000193708696842, -0.05047101200528781, 0.7103941402210582]",0
"[0.03466240238215733, -0.19603153805677717, 0.08454764662407484]","[-0.678689317509226, -0.10659929057569621, -0.08496816578129246, 0.7216632264092319]",1
"[-0.019253794592061554, 0.05011393891030813, -0.021382493101109554]","[0.05079375734760616, 0.07273919989989205, 0.11199267846829752, 0.9897406948195738]",1
"[-0.03391119225032552, 0.06297277489440524, 0.22591061564526957]","[-0.9930322058576486, 0.07155868385523949, -0.09183263580304633, -0.01825266818477567]",0
"[-0.07017864205389261, 0.174103140650649, 0.060896775661433145]","[0.7266833968635422, -0.0692917499802818, -0.05578262871554197, 0.6811888082177494]",0
"[-0.03492799806050409, -0.031071565953296444, -0.10166528238004449]","[0.02905201737325565, 0.08745466458414927, -0.15373100177402568, 0.9838060993013676]",1
"[0.03894523861184199, 0.22299474943100175, 0.14135385287869678]","[0.7180302788429442, 0.06271902364449253, -0.01019284411305042, 0.6931052940691569]",0
"[0.054144418343858636, 0.12374469004265237, 0.02845296330729269]","[0.7028362671549397, -0.07752829182470679, -0.06803357035850262, 0.7038337721669287]",0
"[-0.02032729835771563, -0.021385350172961, -0.10020113481588983]","[0.010234099300432625, -0.05266915393679968, 0.006055202816904474, 0.9985412149500574]",0
"[0.017744016948235172, -0.1689083173024483, 0.1791646062528212]","[-0.711720620275133, -0.049467839310667144, 0.07432456851959367, 0.6967657784819015]",0
"[-0.056097309521471475, 0.22008582646945543, 0.028300250969951618]","[0.6955536481090496, 0.06635691476855246, -0.018999566133043575, 0.7151509623508505]",0
"[-0.0201023027123827, -0.025693754092032985, 0.27481245329424514]","[-0.9887501911986968, -0.14539300014634501, -0.030712809866816383, 0.01704870150687217]",1
"[0.0443876730340918, 0.17653369837359986, 0.11564834560969958]","[0.7206462273217603, 0.04279527159836873, 0.1910413186225898, 0.6650870577260378]",0
"[-0.022713097015647776, -0.024812430294910193, 0.23417240902317313]","[-0.9943670082271455, 0.000531487970282606, -0.1057603576012225, 0.006979772918594709]",1
"[-0.19564452802769353, -0.0021458137083150064, 0.06285556162893025]","[0.10907347908295463, 0.6866856640594984, -0.1102189934649425, 0.7102235904385894]",1
"[0.12878389456113892, 0.014621382503555914, 0.048372489001365426]","[-0.17405401527037112, -0.6951222816405144, -0.17174750292709906, 0.6760273726510287]",0
"[0.024822489257274108, 0.05095008668685537, 0.28875727476222784]","[-0.9887605162944321, -0.11724715939227416, 0.09270171510680943, -0.003483826612627342]",0
"[0.12664651245806086, 0.020711526864680526, 0.13473874635074784]","[-0.13104988816322172, -0.7060680832661893, -0.13300267811391628, 0.6830842380114934]",0
"[0.07547034548557997, -0.058702992829180387, -0.08871393496366936]","[-0.0005286057324346514, 0.15403591454063953, 0.009365866838764076, 0.9880207174679927]",0
"[0.18454153799616646, 0.043590000504290155, 0.17580968750320802]","[0.05908982502764202, -0.7103760562007108, 0.0584123649220146, 0.6989007418647836]",0
"[-0.03419522773223714, -0.06359891371347992, -0.0490643769522803]","[0.14951376425717608, -0.007923030503321458, -0.039384758378080684, 0.9879431667321725]",0
"[0.027773164730051862, -0.17104345495610326, 0.07701825058115686]","[-0.7342890673364113, -0.06229193343520001, 0.05282744003850609, 0.6739054401012846]",1
"[0.003376130820104886, -0.05932012657350163, -0.10820331632164232]","[-0.10847923382201183, 0.12618990935948274, -0.04751357390027414, 0.9849115812601952]",0
"[-0.1652309048860131, -0.024327238982756832, 0.11308686235658608]","[0.021815494007164662, 0.7072488529327225, -0.02165509922740949, 0.7062961141929232]",1
"[0.038243487656327596, 0.001820726396493323, 0.23110155320050216]","[-0.9984700752448927, -0.045349798744364324, 0.026410417315829465, -0.017418221823928326]",1
"[-0.003960734787160266, -0.1420451527134471, 0.045549032643456486]","[-0.6785988317892139, -0.14054610081262742, -0.03395486123703887, 0.7201371303016214]",1
"[-0.017690691722738246, 0.0674513915743716, 0.31033616281317533]","[-0.9985323711890081, 0.052447677879119574, 0.011564271070558938, 0.006972259845408235]",0
"[0.08067354780602196, 0.15798572761327914, 0.04591796250675115]","[0.7197218660282065, -0.01797269896657888, -0.028424024103419505, 0.6934475412794406]",0
"[-0.07963159154751134, 0.0479920687869931, 0.2904765916889811]","[-0.9915643324603118, -0.10597544433093047, 0.0730925825103573, 0.01506167896898256]",0
"[-0.04152238573256236, 0.13996681189891458, 0.08120744388073964]","[0.6976144008942708, -0.07195034214131561, -0.011805961198360576, 0.7127537549608968]",1
"[-0.04809420336783171, -0.04933379943789412, -0.11495847386362223]","[0.17246900080959357, -0.0019965318856553357, -0.03227023020848997, 0.984484174510927]",0
"[0.07766255376865382, 0.06606767888116878, -0.026562311464536692]","[0.04030876616786131, 0.08634701713197886, -0.06440979917450304, 0.9933633644204595]",0
