Position,Orientation,Success
"[0.02798794117296698, -0.41413909267957116, 0.3379082707488765]","[-0.052538416534622996, 0.05463360662958605, 0.7102657437887426, 0.6998410226722226]",1
"[-0.4763512262949004, 0.05976640388961585, 0.2811343143085892]","[-0.04420974492332324, 0.03543797408471259, -0.025575880975720795, 0.9980658909906207]",0
"[-0.002732426291429008, 0.019480207392760605, -0.19142980793619296]","[0.02160534196141331, -0.7007566630510997, 0.021021019961092468, 0.7127632321521736]",1
"[-0.4364997651059715, -0.016811907788942648, 0.3232375478906565]","[-0.059942730359879556, -0.023673654280076416, 0.0589229687339599, 0.9961799591065899]",0
"[-0.5116530934189423, -0.05719487980953996, 0.27262338824422594]","[-0.0307555999415548, -0.10928864402178051, -0.03247224856054329, 0.9930033426094487]",0
"[-0.4680464301848968, -0.030147101603054227, 0.28127356207518867]","[0.04716853962662838, 0.0025060380002201233, 0.05803704084921247, 0.9971963450256421]",1
"[-0.45672620690020543, 0.06455922133994929, 0.2514390334721169]","[0.06666466116321132, -0.034726682768997985, 0.09799153848541559, 0.9923444658187583]",0
"[-0.04708486447566536, 0.4826872047449473, 0.3200518601005832]","[-0.02380728105966683, 0.06697235212832443, -0.7161460034413467, 0.6943218412047344]",1
"[-0.06699841882791295, 0.0603869680283943, 0.7346980658022836]","[-0.005701668257055429, 0.7464860508001896, 0.009994886026412018, 0.665301562596348]",0
"[0.02575464314261437, 0.44349022564222557, 0.2326696858530996]","[-0.08923623950706358, 0.031447558890869164, -0.7375117728370185, 0.6686735597623412]",1
"[0.06716088336787525, 0.019841448747308456, -0.15542243390470067]","[-0.06480959969464813, -0.7182256977515051, -0.06796956727159774, 0.6894430366619819]",1
"[-0.054670766932977836, 0.4875358344124009, 0.35502684456263894]","[0.05044806705867361, -0.04162292640575631, -0.6843857121875804, 0.7261809151175505]",0
"[0.059164409732544686, 0.029302074965800333, 0.807786316562179]","[0.07926103213784093, 0.6724740080364892, -0.07701273202811232, 0.7318233642111669]",0
"[0.06815548909088434, -0.004581186393710853, 0.7434644964545416]","[0.017423518812141815, 0.6640052140031218, -0.009797483297117085, 0.7474607053818376]",0
"[0.04161727517003259, 0.4311977582742041, 0.27763086473476856]","[0.07156501975646645, 0.0018175585459068444, -0.7357313169219847, 0.6734794530855645]",0
"[0.03436900599571447, 0.4568543318375855, 0.3665274539647263]","[-0.02606377429328612, -0.06754032116396214, -0.7377106538667527, 0.6712242366438699]",0
"[-0.05908762475229898, 0.06478704565998616, -0.20068090286372292]","[-0.0008761356042201428, -0.6768810340620381, -0.005893520885106602, 0.7360683151210122]",0
