Position,Orientation,Success
"[-0.05068535655565295, 0.0060296943807829385, -0.17105582829621724]","[0.01941689042025738, -0.6821912103323147, 0.02752190354381055, 0.7303976189289397]",1
"[0.5023472728712377, -0.032181225669513876, 0.3518511783295618]","[0.040168747316102475, 0.034939477350405666, 0.9983828390828902, -0.01993517710790586]",0
"[-0.492739360705503, 0.0678535246432041, 0.3103366759844704]","[-0.08029562550343045, 0.03227133013279229, -0.08275362829313229, 0.992805625880915]",1
"[-0.42543749451308044, -0.06482375740320719, 0.33161713160133066]","[-0.026861694184354846, 0.03762322701093823, 0.08205343887370567, 0.9955552095910245]",1
"[-0.024651673729199425, 0.4228819109584064, 0.22220719205158132]","[-0.09242502131679167, -0.04446016189246721, -0.7071254162942502, 0.6996102879959453]",1
"[0.056899833993470185, -0.017867762706351674, -0.1636698586762314]","[0.09378583190428169, -0.7471925660789058, 0.08724732861984161, 0.6521467554003034]",1
"[-0.0065286192621130555, -0.06343177672139483, 0.7259786145209639]","[0.017944503560565983, 0.767552457440403, -0.022129010688422435, 0.6403526581151319]",0
"[-0.4980973674843222, -0.0112020335948358, 0.2777188074570742]","[0.01744853630275208, -0.03064195308562708, -0.06212361664681655, 0.9974453747181894]",0
"[-0.003561226247025545, 0.032908334994329894, -0.14563692006450002]","[0.03161002321359411, -0.718273205185924, 0.029409767902367805, 0.6944202435818706]",1
"[-0.4691678060067504, -0.002074319660911715, 0.3508286029995445]","[0.07171600355289622, 0.007790448437864383, -0.00463956320112069, 0.9973838770507777]",1
"[0.4269607353766234, 0.025721358647865244, 0.3511301621337661]","[0.06895840689507869, -0.030762032666464625, 0.9901022914211686, -0.1183042179606104]",0
"[0.42579541549898997, 0.016142881586311573, 0.27411260506085355]","[0.034122518802349566, 0.05531858948569443, 0.9968472328376836, 0.0455093589468096]",1
"[-0.05028144470631116, -0.47413397005675156, 0.22117127052882998]","[0.006108097366479387, 0.022283396781228926, 0.7197152504717524, 0.6938847884287669]",0
"[0.054229270259600976, -0.4797013615569939, 0.3059978593071831]","[0.06152375738757292, 0.016111831541126404, 0.7219901604875241, 0.68897419713695]",1
"[0.06145916595912576, 0.019723103893535928, -0.13053777588269944]","[-0.09044926912212323, -0.7518148415436327, -0.08244854756566489, 0.6479163609250107]",1
"[-0.480486942545037, -0.02791724055641813, 0.30134620897296527]","[-0.01881276299009638, -0.04792184509871712, 0.00754425418339643, 0.9986454130169674]",1
"[-0.4153549175711991, 0.021610616061503413, 0.28278412308138445]","[0.046714239872864396, -0.003034135645926253, -0.014972469997272987, 0.9987914692047402]",1
"[-0.00030479122455471635, 0.41415011382141975, 0.3480727259783764]","[0.01940115126558819, 0.11548323730241099, -0.7666677773166848, 0.6312746917594743]",0
"[0.4310958772580958, 0.006881596591329631, 0.34729351217773835]","[0.08272612703818842, -0.03741997562435381, 0.9923670729523525, -0.08344894157216487]",0
"[0.019292558357425937, -0.41965516507351236, 0.38422173535610693]","[0.009973276186210847, -0.07053914629670975, 0.6523915487207251, 0.754526361209215]",0
"[-0.08494701295798582, -0.06114350976901913, -0.20426956726980744]","[-0.07708890018333306, -0.7647959631572216, -0.08194456182253268, 0.6343733325059108]",0
"[0.0013251144392220464, 0.04849780368336324, -0.22056128636362865]","[-0.00745783404001104, -0.7127709657151846, -0.006698269276917544, 0.7013252200894879]",1
"[-0.0033388475942757066, -0.4684271457724139, 0.24688030577521508]","[0.06200750475776515, -0.09281033084207949, 0.7156200726616004, 0.6895137587071815]",0
"[-0.011427761411365252, 0.07750348112026924, -0.15947818241417477]","[-0.03784324475938872, -0.6569498991363159, -0.030462149617453915, 0.7523674476554322]",0
"[0.06818304183563431, -0.44027938641869657, 0.3270125811048657]","[0.015094204372602619, -0.07644881569146036, 0.7102504387256197, 0.6996227968439823]",0
"[-0.010890311806983277, 0.4459382129649249, 0.2806832662709342]","[0.011316155468793741, -0.07700526580065609, -0.7299868768254164, 0.6790149433753655]",1
"[-0.01917516969633057, 0.04779836833027754, 0.7478936140016612]","[0.016431010793070234, 0.7422829578804967, -0.011650046118434912, 0.6697837776103099]",0
"[-0.4598582196573508, -0.06732076571654118, 0.2968802217360773]","[0.08382697569545693, -0.06042036350718487, -0.0782353438628053, 0.9915652519073475]",0
"[0.0718729787371894, -0.0033299625348044096, -0.189095195455039]","[0.03524293972194282, -0.7096060595595917, 0.035034473029863976, 0.7028440517892889]",0
"[-0.4665612349280544, 0.07627454643486786, 0.29026591542127356]","[-0.0026892805853781757, -0.01764654301855802, -0.008965078295303904, 0.9998004774256644]",1
"[0.0038741579175647217, -0.004160307567549395, -0.16015578971410444]","[-0.029800866375797604, -0.7342336230725938, -0.034186162283155, 0.6773803963957725]",1
"[0.03150095338610156, 0.05927505294013653, 0.7794804845525616]","[-0.0193668250399397, 0.6598998502676187, 0.028517416591593864, 0.7505623695973497]",0
"[0.026004870856130475, 0.08956105528036555, 0.7591321640705837]","[-0.06752605896402084, 0.7503430968966015, 0.05634110798236635, 0.6551726092044174]",0
"[-0.03706339674728868, -0.4602629786746899, 0.36375720649557014]","[0.017884148842182566, 0.05577421469589534, 0.736850975941035, 0.6735132021348884]",0
"[0.014801196903808624, -0.047268759497125445, 0.7499587852995748]","[0.09765398702605838, 0.6370324638289581, -0.10043266003920182, 0.7580017279949774]",0
"[-0.01803903347890122, -0.004767931216730193, -0.1990821096194848]","[0.08465535796682701, -0.6441036074734924, 0.09432264097565449, 0.7543654635563052]",0
"[0.4317712721322542, -0.04319298579710272, 0.31855462769277804]","[-0.014904319644622483, -0.11300953610129197, 0.9912146472160056, 0.06708374729061749]",1
"[-0.4680013037371558, 0.01597347724049392, 0.3589706306807142]","[0.09221047549620644, 0.035777831104877374, 0.013225361900134723, 0.9950086757475057]",1
"[0.4734108601441981, -0.0106017303643661, 0.3446765702463396]","[0.020452438693390362, 0.11517046956161886, 0.9917133263231422, -0.053123809027009555]",0
"[0.04402188689112492, -0.0714130435178103, 0.7208017218031155]","[-0.026096210083256417, 0.6844396054434676, 0.02134884458960103, 0.7282895311305594]",0
"[-0.4431854816487488, 0.07892784919572982, 0.29796638312000656]","[0.04144990000736318, 0.04246474313044508, -0.06421618107225993, 0.9961701327929581]",1
"[-0.07799167336684326, -0.035767860585344556, -0.1493592342381474]","[-0.0031024385213521827, -0.6655302981018055, -0.010510968695883437, 0.7462903702452667]",1
"[0.010000067221273523, 0.4724434056012395, 0.35417191839795054]","[0.06859309266360335, -0.04252161418907882, -0.700030762991406, 0.7095377585662849]",1
"[-0.02785593974482644, 0.05598568580790105, 0.7240815528143569]","[-0.015033937405292339, 0.6796742511899869, 0.0068274052885820835, 0.7333282208755161]",1
"[0.48349330329231527, -0.07615639679778208, 0.36865256435150445]","[0.05607958481903236, 0.05895025029780387, 0.995798350598728, -0.0420189612104354]",0
"[0.026299451244572385, 0.019385711296652848, 0.7777974365335906]","[0.048411383258419476, 0.7033931403969511, -0.048125754173691075, 0.7075156109929553]",1
"[-0.4601502809603507, 0.0590573165082227, 0.26719384585910616]","[-0.09172754556006908, -0.05361553574526348, 0.052529642961514675, 0.992951191309326]",0
"[0.03576581222103273, 0.40518052982278857, 0.36926401022654093]","[0.02548661378390076, -0.0637019422463227, -0.6352372922188219, 0.7692633343962103]",0
