Position,Orientation,Success
"[-0.025544787599564852, 0.04169813677707955, -0.12077219377622833]","[0.013436403817469945, -0.7275410705897302, 0.017405997503586273, 0.6857116630979149]",0
"[0.418426645433789, -0.04584984659795945, 0.2870858638899663]","[0.020892831836349317, 0.040748950935557485, 0.9989493860370633, -0.0017710764195822707]",1
"[-0.046496381268395816, -0.010110675857489225, -0.19240893449108942]","[-0.014885352397766716, -0.7164932741975679, -0.012562504999341247, 0.6973220187128645]",1
"[-0.04831455628684101, 0.01665384950715448, 0.7480724787876429]","[-0.06786838338504662, 0.7382269446255474, 0.07043337512801043, 0.6674234041698016]",0
"[0.47004580419315267, 0.054159100333013147, 0.25826756932857886]","[0.00555997208099451, 0.04947605856455827, 0.9978528830105333, 0.042553850671142625]",0
"[-0.05196857985368185, 0.5062492740725403, 0.31473944887519806]","[-0.04793959137856886, -0.05152929857067201, -0.7074538860318192, 0.7032464191915577]",0
"[-0.07881459858112005, 0.044667352234833826, 0.757319262913878]","[0.026633318709901696, 0.6274111019412426, -0.026778015929845925, 0.7777717617387723]",1
"[-0.06361143912849217, 0.4309560464613049, 0.24162606857593408]","[-0.03452583195010721, 0.00935973357332215, -0.7061657754920917, 0.7071423193666478]",0
"[0.46913570133250376, -0.03283091186370055, 0.3785346791279095]","[0.005684198647662677, -0.05835109388292128, 0.9979618790103176, 0.025197773127731395]",0
"[0.002255707403965046, -0.009329925336290358, 0.8034919133479066]","[-0.0461926855383552, 0.6936748402057796, 0.04504500647317309, 0.7173927789294178]",1
"[-0.07157268789697524, -0.46995537622427247, 0.3056634409829779]","[-0.01606128982704328, 0.10542740089473562, 0.707017978330007, 0.6991084868801282]",0
"[0.4478967098589575, -0.011817094832920408, 0.2394630015409933]","[0.016630698751103817, 0.08391819974793482, 0.9962614303778191, 0.01201324068091833]",1
"[0.021679165202473708, -0.4752158899601964, 0.36307599032711024]","[-0.10469550879826757, -0.052194683087947974, 0.6793247646478461, 0.7244531935404586]",1
"[-0.052856518201962, 0.456183069882414, 0.37781766492354524]","[-0.022043206384874708, -0.08031501174238917, -0.6538227522192928, 0.7520501343803372]",0
"[-0.47266044022902765, -0.041411723665359924, 0.36307125385157035]","[-0.042587636038859324, 0.016851162276314318, -0.023871410102730143, 0.9986653530418818]",0
"[-0.49741566375549995, -0.05153841894383683, 0.3558509065439525]","[0.010120239676409043, -0.03650069966823113, -0.0454037427117353, 0.9982503592888852]",0
"[-0.054626428660362235, -0.03017702306639, 0.7481907524129077]","[-0.12621917430483273, 0.7187800268287378, 0.12559974773762939, 0.6720481355067724]",0
"[0.05497752087307761, 0.44355330360484957, 0.24417104928376787]","[0.03576726889040202, 0.030609727174608095, -0.7429660050793191, 0.6676715228125991]",0
"[0.47488233768688803, 0.05617330142956944, 0.26450166864200164]","[-0.028927331394132588, -0.04950300606670814, 0.9963337930596411, -0.06349515490304608]",1
"[0.01670685866692138, 0.0775414623236853, 0.7362137078143509]","[0.002535434659650849, 0.6796784442202604, -0.005094277052104754, 0.7334881269487118]",0
"[-0.019773185477261552, 0.4912551565616168, 0.25502326075075615]","[-0.020149767446188228, -0.1141226893923196, -0.6496788914775772, 0.7513237229092367]",0
"[0.04855674113755122, 0.042269742610259536, -0.1455648933055807]","[0.03887319978344558, -0.6756704436672658, 0.041355807971409086, 0.7350156617651822]",0
"[-0.46790365356024594, -0.041049512526120865, 0.3366997896585211]","[0.05734816556433822, -0.03394192835440818, 0.03519491738687864, 0.9971561819475023]",1
"[0.07858119022061395, 0.4192359737334478, 0.30887422873232373]","[0.07026664815889107, 0.00036389581327758025, -0.6942232352465157, 0.7163215516653206]",0
"[0.46749491952619265, -0.037796815729883984, 0.3115621897233676]","[-0.06038787321886068, -0.07995232012718388, 0.9945535535491835, -0.028708193901298897]",0
"[-0.42602390205663637, 0.03035036070855934, 0.33498939124116506]","[-0.009783343338659505, -0.05804711014305041, -0.09549172433958014, 0.9936881551975006]",0
"[0.4322175838095854, 0.04000110488849453, 0.37934370886066504]","[-0.037392799317326884, 0.09345947361445944, 0.994803640767273, 0.015258494915974865]",0
"[-0.014004519400465251, -0.07800984589334443, 0.7296090470361095]","[-0.021252444102549787, 0.6780814158117248, 0.014951410372457993, 0.7345273190823532]",0
"[-0.04997482388052496, 0.5069933087738554, 0.30755156520444515]","[-0.005235616231000441, -0.015618940171398633, -0.7513450325390196, 0.6597039329195664]",0
"[-0.03508448660622276, 0.06757265950903561, -0.18459259641760156]","[0.04679325637589676, -0.6477626556149576, 0.04517215578108727, 0.7590608733760993]",0
"[0.4977330715136068, 0.07766887955541578, 0.3741361255810136]","[0.07017596824926409, 0.038307316644451944, 0.9958179689158435, -0.04420922704712554]",0
"[0.07523685083009847, 0.5077147564535207, 0.37193152285218445]","[-0.021993500978026038, -0.005546884474638751, -0.7276996823623791, 0.6855207438707068]",0
"[0.05831504383536651, 0.4903929528015419, 0.28076371490267715]","[-0.09230393494669448, -0.04866336550209618, -0.6567861352276589, 0.7468224909736458]",0
"[-0.4221575979605442, -0.052424332614123534, 0.36223616248766044]","[0.07253180742284616, -0.04357358636961374, -0.06202745042825209, 0.9944813094655102]",0
"[0.034972058512059284, -0.04460537044668427, -0.13508948704888146]","[0.046701996842793095, -0.705727560843104, 0.04671795255380632, 0.7053970274012495]",1
"[0.018209480483462187, -0.01955432774330805, 0.7236660438258423]","[0.0059210027725249345, 0.6829209590201644, 0.0004682091253107451, 0.7304681281461648]",1
"[0.043374194219170305, 0.4656635481845151, 0.2745709965007631]","[-0.06447987815597071, -0.010676380212162804, -0.7340083548987664, 0.6759882359607772]",1
"[-0.04822538395533448, -0.06245504079694285, 0.8013743686776427]","[0.023050987993690663, 0.7198519773707989, -0.025058220086764484, 0.6932920511833011]",0
"[0.07220386076022255, -0.43375368040147155, 0.2602416037671545]","[0.04027897683894231, -0.007593730351736803, 0.6586893045510255, 0.7512977700980081]",0
"[-0.005001929780008788, -0.41188606879609363, 0.2469468340894646]","[-0.051686839970551096, 0.026103492043639088, 0.7418210902565894, 0.6680932182918126]",0
"[-0.058400939428104794, 0.49255851145049667, 0.34348812771162723]","[-0.024975403013869874, 0.04505788718483366, -0.7285985785557657, 0.6830008253093487]",0
"[-0.03739997904074488, -0.512682831686135, 0.36986501072478284]","[0.061947261576375, 0.007853081498622974, 0.6740670009815453, 0.7360261843724785]",0
"[-0.43464045669117035, 0.016272706346882562, 0.34832579098310534]","[0.0022203309019715256, 0.06368609969697224, -0.007628002597059746, 0.9979383570203384]",1
"[-0.014719407076178883, 0.001949668554828954, -0.16812321650171697]","[-0.02858245508746748, -0.7382138153418907, -0.024376372442948917, 0.6735200060622287]",1
"[0.48822090375113547, -0.06344968156310613, 0.2816171156740997]","[0.05606729402411393, -0.02709820981800282, 0.9955111627506477, 0.07127180651791178]",1
"[-0.041031851918539856, -0.4211936178752053, 0.34479702986521027]","[0.023173201495523973, -0.011282948196645229, 0.678037214474551, 0.7345755465573512]",1
"[0.03863530868461902, 0.058239017428400104, 0.7487754390767718]","[0.05530148308877373, 0.6915289601879212, -0.056898727827509425, 0.717977700183791]",0
"[-0.02442364968683771, 0.5170504326907002, 0.3335851492749518]","[-0.027853066889395203, 0.05610525517322768, -0.7097231109587951, 0.7016904679256886]",1
"[-0.4591973282195141, -0.05641272809904546, 0.23852293741702754]","[-0.08159271389314306, -0.013738458732551983, 0.03282688585224618, 0.9960302602614287]",1
"[-0.00764443206752054, 0.07468010849344485, 0.7333358480243113]","[0.0195739767742395, 0.6805570548020373, -0.016890313938397947, 0.7322388079632769]",1
"[0.022829072684283802, -0.4866960105476107, 0.3013912463108729]","[0.04790950197926361, -0.01278118135956665, 0.6824134805754996, 0.7292826355755259]",0
"[-0.42332840965153684, -0.07666260253144747, 0.2753917221576369]","[-0.03860950009697609, 0.04286996876965747, 0.05058653840857398, 0.9970518915341308]",0
"[0.4756671180458932, 0.05759433449353232, 0.23725123790304842]","[0.00977930406792717, 0.07472568948985428, 0.9971509325965919, -0.003233289959133095]",0
"[0.022804492698992408, -0.017562277780046525, 0.7196253241707623]","[-0.004814298939335494, 0.7524701944342372, 0.01660928018751304, 0.6583992412096757]",1
"[0.49692295567622097, -0.0716643574938926, 0.22599094241735757]","[0.08210062309992627, 0.03673431364305684, 0.994363557295227, -0.05613549510745819]",0
"[-0.009046049433757537, 0.057918910660941, -0.15060531128355142]","[0.09554811895137615, -0.6433479974445918, 0.09386817202567573, 0.7537656647987127]",0
"[0.04259452548194125, 0.5131879630267978, 0.26997492876600104]","[-0.07399766719482735, 0.02603594037657357, -0.6593189172004079, 0.7477600152991017]",0
"[0.016393805101294973, 0.4630605277948444, 0.2447086490311787]","[0.0669006567397598, -0.014235222035705595, -0.6473709243933506, 0.7590998266575232]",0
"[0.4766240154618276, 0.05296147081742284, 0.288292088295261]","[0.012509086169955629, -0.050204640893547994, 0.998245448901227, 0.028793064163620968]",0
"[0.07912863305582771, 0.5103148164617154, 0.2568791529548688]","[0.01784059443839829, -0.09454578252833092, -0.6684941305713724, 0.7374675623970285]",0
"[-0.06275852099677406, 0.048106312996157044, -0.14672005170850444]","[0.008597485258487494, -0.6771604450782742, 0.00271473601033078, 0.7357801608340754]",1
"[-0.5117139432493069, 0.07718631727743651, 0.2852771410647936]","[-0.06438767782089629, 0.0530564266159152, 0.03511055466919579, 0.9958948194916991]",0
"[0.0447061605099607, 0.45732947844190397, 0.2478825748860351]","[0.09443889364325293, -0.008086552757527192, -0.6710102438647982, 0.7353646412905928]",0
"[0.42601188029314424, 0.06449277686382361, 0.3601305480429488]","[0.03226456777097006, 0.0661677070134253, 0.9945659843067662, -0.07361613325250854]",0
"[0.00810903311703514, -0.012619538276309378, 0.7730194365494262]","[-0.08933017195622192, 0.6346972644033078, 0.08695314680117261, 0.7626392680675467]",0
"[-0.053991913726531594, -0.4966762128533741, 0.3065792105561411]","[-0.021036521492469346, -0.05645399293441709, 0.6750568423042599, 0.7353017551342166]",1
"[-0.47292506284264324, -0.041232337535741306, 0.30800886587990434]","[0.031397878657703805, -0.04496647001355992, -0.04975317580377097, 0.9972546371352479]",0
"[0.44853716668966004, -0.016573696278647347, 0.3652997581074487]","[0.06243303072862955, -0.0418241467099079, 0.9945489301879488, 0.07228611822495963]",0
"[0.012297777475700794, -0.4780695815994429, 0.27733694544603704]","[0.01184838782511416, 0.03158822755872515, 0.7485708726404564, 0.6621959288760008]",0
"[0.07367292448894419, -0.06820704695745676, -0.13779077549586777]","[0.04045133646176546, -0.6398196110641612, 0.04442843270436657, 0.7661727409948726]",0
"[0.45518694536298426, -0.06255315943625295, 0.30314337443805806]","[-0.04733040363490934, -0.07232077171445477, 0.9962563823853745, 0.0016611522473328568]",1
"[0.025203919460479906, 0.038191368645849905, -0.19156285446004084]","[0.06525643232153454, -0.6832616074933973, 0.06812598605132514, 0.7240538818283749]",0
"[0.03650122420637841, 0.41864080528604103, 0.308706856340718]","[0.02819619728287686, -0.01775910903213532, -0.6461429841344102, 0.762488578641706]",0
"[0.06390166103983495, 0.06327570930922491, 0.7346294176807198]","[0.01541161312948954, 0.6625577565084172, -0.01942082253203071, 0.7486003827967624]",0
