Position,Orientation,Success
"[-0.03759965262579207, -0.5027960828334774, 0.36743612321179664]","[0.08191897099261389, -0.04235032185889064, 0.7482515505970584, 0.6569743902611862]",0
"[-0.07793919351641442, 0.05845274001317831, 0.7541486801951797]","[0.020558514973154442, 0.7596506390107846, -0.026866474198647905, 0.6494508808807167]",0
"[0.012650083307954906, 0.021985930975064443, -0.18254204505844712]","[-0.015975887434342396, -0.6578061832037428, -0.01729984221228461, 0.7528190432096143]",0
"[-0.03593682634473544, 0.48252314068470314, 0.27872367296622247]","[-0.04890410933155673, -0.0473978029014998, -0.7467348074051031, 0.6616259999276489]",0
"[0.054153816845191986, 0.009519143074945526, 0.812197794951089]","[-0.05546748765350794, 0.7233572716443923, 0.05297892952238753, 0.6862002975802697]",1
"[-0.005519216033850581, 0.47825367407899555, 0.36853517639865047]","[-0.016620410877914046, 0.04207290880524011, -0.6637454488897786, 0.7465893190804579]",0
"[0.45114216971045995, 0.010609678777449361, 0.22341927483264296]","[0.022932006004493518, 0.02102506647574923, 0.9984498386880748, 0.04615180715917548]",0
"[-0.42875333093616935, 0.040375646926925836, 0.2864113232866356]","[0.036625189768954264, -0.05175582462643165, 0.08520343092990164, 0.9943441584528969]",0
"[-0.4208671121223618, -0.07996692375693129, 0.29135342802789577]","[0.001270068971287103, 0.05488069414737191, 0.022159246979436664, 0.9982461941365042]",0
"[0.04730042191034479, -0.02562815236342457, 0.7966127981321054]","[-0.03236994255620214, 0.7431826704922357, 0.02575202152824486, 0.6678087589169119]",1
"[-0.042707237766783326, 0.03996731083451419, -0.13017048109273532]","[-0.0688390426225099, -0.7313332025840117, -0.06989338191416329, 0.6749280318475669]",0
"[0.0635275540280593, 0.0011739950466780457, -0.16154284836052135]","[-0.022761693326100424, -0.6833756735059663, -0.021619426044324205, 0.7293916606287115]",0
"[-0.41525642588516426, 0.0441321591869719, 0.24596931541060515]","[-0.035472422348831294, -0.003678695100673411, 0.020236299063417732, 0.9991589796700415]",0
"[-0.484841108902589, -0.0539639311402634, 0.3792001747663174]","[0.09291220608393039, -0.04562928467182674, -0.051489969275314205, 0.9932945552075587]",0
"[-0.06220489794050829, 0.46627686200034424, 0.22452170018221385]","[0.06420703362247698, -0.02349737727428096, -0.6802251769780603, 0.7298075353816229]",0
"[0.013277326361153237, -0.07487516952628806, -0.20072024403619942]","[0.004234927522029337, -0.6391192405983701, -0.012255489335092783, 0.7689983515372472]",0
"[0.031117310255590638, -0.009691154944376484, -0.19521539946351613]","[-0.0017190785323960463, -0.7132208934487221, -0.0020660882121035142, 0.7009341860664993]",1
"[0.4877793282974811, -0.04189769977701319, 0.2412452339601401]","[0.05003362133382034, -0.046955801296357624, 0.9966171107820535, -0.04523410170737465]",0
"[0.0740703192204039, 0.05345553579693209, 0.7319457928088527]","[0.0016433739472894871, 0.6860502503381671, -0.0019513804664340704, 0.7275496858959414]",0
"[0.014380393183812942, 0.4566128303858756, 0.37117227929854746]","[-0.07178097740567801, 0.002342489614261506, -0.7166628017141875, 0.693712067549833]",0
"[-0.0657101770985269, -0.4219272595835228, 0.31097588429991757]","[0.06359880939060332, 0.03642892836932704, 0.7132284510944814, 0.6970891629994882]",0
"[-0.07162028878243955, -0.03604355168066492, 0.7663853697957577]","[-0.06390508680582493, 0.7175190761709174, 0.06279507536452704, 0.6907527008424481]",0
"[0.4900599305507775, 0.013246643561045884, 0.22779364004703914]","[-0.010489689669268488, 0.05892362184255937, 0.9932047341427803, -0.099811468659501]",0
"[-0.025905404088333885, -0.07803999745621194, -0.13046137620219012]","[-0.01920759480191945, -0.7049656061553033, -0.018702411500551866, 0.70873463457353]",0
"[0.049375635203784594, -0.4659730318905744, 0.2940459599710161]","[0.020547264634221046, -0.038179676365085395, 0.6838163088321517, 0.7283648659867389]",0
"[0.03282523974674504, 0.4492335471852819, 0.3416821951685172]","[0.006363212094199256, -0.02707787111818899, -0.7393068052851601, 0.6727939848769467]",1
"[-0.5144949034152554, 0.04361333491310891, 0.3467306604802396]","[-0.07174962342352532, 0.006612612035208177, -0.030641302487364398, 0.9969299752151763]",1
"[-0.5032639067981992, -0.043187170849891134, 0.3111973099244553]","[-0.08071717190980761, -0.023035268248231662, -0.00793643193515033, 0.9964392242499055]",1
"[-0.0007216720498599907, 0.4977587516074046, 0.3626155577646626]","[0.022467826512990476, 0.05559873662527086, -0.6527266797180905, 0.755216431787374]",1
"[-0.0038191087018279537, 0.04869826841036193, 0.7582778587032484]","[-0.12744085056869695, 0.734572680556491, 0.1256804357081728, 0.6544969325112092]",0
"[0.02615330141935771, -0.46864041501303666, 0.23061586715316634]","[0.0292016211179117, 0.08037486788640626, 0.7000457985266807, 0.7089591144075028]",0
"[-0.07493831843517247, -0.4490578026496552, 0.2803324384215609]","[0.004577536746556256, -0.031872236018651474, 0.7412651245265488, 0.6704395736299772]",0
"[0.027024304066854164, 0.48111257505280075, 0.35108680863450653]","[-0.05097898500502793, -0.0068148953233616374, -0.7535133233769343, 0.6554177078650197]",0
"[0.45253161604850367, 0.015335663464653265, 0.28360764541882794]","[0.008693065115855486, -0.03236737635893473, 0.9991538819270154, 0.023839123236950272]",1
"[-0.017493479512989428, -0.01140844967250199, 0.8138456534352412]","[0.048962985447803635, 0.6818826569316794, -0.04636589785905195, 0.7283466700325854]",1
"[0.017234962534762217, -0.05820972335903012, 0.716551923922373]","[0.013399711732998962, 0.6633795592287758, -0.023527142647931903, 0.7477930741065549]",0
"[0.47485513081182773, 0.03867586706626878, 0.2782333269208433]","[0.0840726778277299, 0.013587553997350166, 0.9945233906261451, -0.06058373310320236]",1
"[-0.060933475127770774, 0.5008432397395826, 0.27573328748842607]","[0.055494267565661046, -0.004402786983381871, -0.7296576999596409, 0.6815428399035063]",0
"[0.48864712921074915, -0.07611955549199978, 0.22684265870862524]","[-0.12213365223837537, -0.026925904267658167, 0.9916674239209486, 0.030888298824541256]",0
"[-0.05555925467826965, 0.04600824252663201, 0.7961589784424533]","[0.06583450237524104, 0.6970891148753461, -0.06667305960535345, 0.7108356261064662]",0
"[-0.4411880111954861, 0.02870730036761104, 0.34199701285254225]","[0.06044016102632044, 0.07247507350491747, -0.09355274955356137, 0.9911317943172532]",1
"[0.021965981219958856, -0.48245570884687794, 0.2904347734520286]","[-0.07720873986972704, -0.007626907353515004, 0.6876261241343494, 0.7219078571257705]",0
"[-0.4385945227931835, 0.036460333919212, 0.30141186996386665]","[-0.02826483691206892, -0.027265167447028952, -0.0586460742426988, 0.9975060639486557]",1
"[-0.013207422184737977, 0.043271335155982846, -0.17252347460595813]","[-0.02385823408897935, -0.7713964259169721, -0.02762891805123053, 0.6353069979435102]",0
"[-0.013549968519182004, -0.44528731350576267, 0.21848130807629385]","[-0.04712754930018433, 0.04384526431971077, 0.691424309539263, 0.7195755770395816]",0
"[0.07198072000093748, 0.4955517833442992, 0.240924276532602]","[-0.020155846514561322, 0.027555014545516926, -0.7561009052581581, 0.6535639862266522]",0
"[-0.038041146553111, 0.4524257296321143, 0.2680804564470964]","[0.012507709815831382, -0.0687444742085515, -0.6754779982367101, 0.7340621420282345]",1
"[-0.004947951684527613, 0.031047670696435575, 0.7340927365617769]","[-0.0509688757297476, 0.672433823515948, 0.05394716594813926, 0.7364269345866787]",1
"[-0.4392697974507047, -0.0011731436635996845, 0.34696501603975444]","[-0.0005403151752817603, -0.0452569235280119, -0.011136462978097533, 0.9989131584500369]",0
"[0.0049464762388117325, 0.5047295511425499, 0.30534887224465984]","[-0.021295282506169643, 0.09096162157710781, -0.7328059831948103, 0.6739939801933938]",1
"[-0.02963281673790454, -0.4812806173927887, 0.23233995819875608]","[-0.036308939500762555, 0.04813791029054672, 0.6900287647653093, 0.7212660440514657]",0
"[0.015837767999385577, 0.4700757020519921, 0.3451940840605554]","[-0.010990813313727154, 0.03832229872092112, -0.7609741296555772, 0.6475561577487964]",1
"[0.03969286786939813, -0.45733150427704483, 0.2257028280700958]","[0.02583486970193913, -0.03457458056180439, 0.653810876503678, 0.7554260358578804]",0
"[-0.07116790712561585, -0.4155981973038317, 0.37390523142356813]","[-0.016239155341318798, 0.0023891269113429326, 0.6730861460808589, 0.739381918808148]",0
"[0.038251769505594446, 0.02122864015642098, -0.1618936791170933]","[-0.013189115160029768, -0.7431980793070835, -0.007804875635917492, 0.6688959157237137]",1
"[0.06579860680127594, -0.035303597684892433, -0.19549181867115745]","[0.018473867352501137, -0.7174168516861318, 0.01853273943862839, 0.6961525082269695]",0
"[0.015806083656833305, -0.013836954923827376, -0.16616661202729538]","[-0.03615570968648234, -0.671115453084177, -0.03760846155434758, 0.7395149876156681]",1
"[-0.0013778660133121345, 0.015659838029291398, -0.15098333507769857]","[0.04235881421927519, -0.7327880723369867, 0.03822976889234797, 0.6780603635879463]",1
"[-0.5198716036381994, 0.03854136269555568, 0.33164745568176723]","[0.09844148665800638, -0.014411829293100229, -0.012186519720754647, 0.9949638494026222]",0
"[0.4355246439976688, -0.07390832228585198, 0.38892688124600094]","[0.03629223799085036, 0.0045286560480400535, 0.9993187241010062, -0.004944936516384783]",0
"[0.46532311846313307, -0.07256588549575649, 0.30425473115336993]","[0.07780461615488166, 0.04812419495279657, 0.9931807249327949, 0.07226722069586436]",1
"[-0.056799302367341924, 0.053622091605375996, 0.8125442763797892]","[-0.020471342571461146, 0.677793391648628, 0.017898592403588383, 0.734749401334048]",0
"[-0.07539204986465002, -0.478901201574482, 0.35909221919075873]","[0.08798919344448383, 0.03377972779740806, 0.7224317506725952, 0.6849884651927004]",0
"[0.06300923453572643, -0.47801833499439633, 0.2956769512858473]","[-0.05070208946271122, 0.00037751386546850535, 0.6898988391416132, 0.7221279300501062]",0
"[0.05615519572941939, 0.44769736363110163, 0.31616278313910473]","[-0.014828046039115734, 0.021172965869919545, -0.6771951663198225, 0.7353492648259066]",0
"[2.482033457912444e-05, 0.46370251774818216, 0.2575050062352366]","[-0.028427136988085668, -0.0259326409421589, -0.721764051493067, 0.6910687737039919]",1
"[0.46418659727434614, -0.06954499213799711, 0.3726680119587888]","[0.0614590084766263, -0.03358594812565152, 0.9962063621822056, -0.051649378633894225]",0
"[-0.01788859072912621, -0.041849698013459724, 0.7546112951460451]","[0.06632994563762197, 0.6930130336505701, -0.06566629571188143, 0.7148574760815081]",1
"[-0.42714386628503226, -0.07162617758960348, 0.32957372966589676]","[-0.06405447696577386, 0.03953997940692142, -0.027428063030753173, 0.9967854911501884]",0
"[-0.4757113545834018, 0.03578621387335797, 0.21898515816189984]","[-0.0353112773812943, 0.08765281303012558, 0.06390479833368713, 0.9934718288947795]",0
"[0.004091355458720892, 0.509917474855197, 0.34491931560218725]","[-0.05489807682921545, 0.0015517081994647144, -0.7433461971852539, 0.6666485014551065]",0
"[0.5180522025306812, -0.0020957667905888554, 0.34897350082236034]","[0.02761967179472922, 0.011908639491339326, 0.9988840961147222, -0.03641291754983876]",0
